time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
8488.0,1939_0,0.4202630801003759,0,6,11,1
8488.0,2158_0,0.5279041892143862,0,0,13,1
8488.0,338_0,0.5353508979401701,0,6,19,1
8488.0,340_0,0.533347187291813,0,0,9,1
8489.0,-162_0,0.534425532809552,1,0,22,1
8489.0,-1741_0,0.4114258845656518,0,1,7,1
8489.0,-1994_0,0.5118534482758621,0,0,19,1
8489.0,-873_0,0.3504672897196262,0,0,6,1
8489.0,1606_0,0.5086038823429686,0,1,12,1
8489.0,1758_0,0.4672897196261683,0,0,8,1
8489.0,1777_0,0.5050847225672458,0,7,20,1
8489.0,1939_0,0.4202630801003759,0,6,11,1
8489.0,2158_0,0.5279041892143862,0,0,13,1
8489.0,338_0,0.5353508979401701,0,6,19,1
8489.0,340_0,0.533347187291813,0,0,9,1
8490.0,-162_0,0.534425532809552,1,0,22,1
8490.0,-1741_0,0.4114258845656518,0,1,7,1
8490.0,-1994_0,0.5118534482758621,0,0,19,1
8490.0,-873_0,0.3504672897196262,0,0,6,1
8490.0,1606_0,0.5086038823429686,0,1,12,1
8490.0,1758_0,0.4672897196261683,0,0,8,1
8490.0,1777_0,0.4837227301310889,0,7,20,1
8490.0,1939_0,0.4205693211404954,0,6,11,1
8490.0,2158_0,0.5279041892143862,0,0,13,1
8490.0,338_0,0.5353508979401701,0,6,19,1
8490.0,340_0,0.533347187291813,0,0,9,1
8491.0,-162_0,0.534425532809552,1,0,22,1
8491.0,-1741_0,0.4380350443931119,1,1,8,1
8491.0,-1994_0,0.5118534482758621,0,0,19,1
8491.0,-873_0,0.3504672897196262,0,0,6,1
8491.0,1606_0,0.5086038823429686,0,1,12,1
8491.0,1758_0,0.4672897196261683,0,0,8,1
8491.0,1777_0,0.4837227301310889,0,7,20,1
8491.0,1939_0,0.3965776480654534,0,7,10,1
8491.0,2158_0,0.5279041892143862,0,0,13,1
8491.0,338_0,0.5353508979401701,0,6,19,1
8491.0,340_0,0.533347187291813,0,0,9,1
8492.0,-162_0,0.534425532809552,1,0,22,1
8492.0,-1741_0,0.4702010109321735,1,1,8,1
8492.0,-1994_0,0.5118534482758621,0,0,19,1
8492.0,-873_0,0.3504672897196262,0,0,6,1
8492.0,1606_0,0.5086038823429686,0,1,12,1
8492.0,1758_0,0.4672897196261683,0,0,8,1
8492.0,1777_0,0.4740706525218712,0,8,19,1
8492.0,1939_0,0.386253567034182,0,7,10,1
8492.0,2158_0,0.5279041892143862,0,0,13,1
8492.0,338_0,0.5353508979401701,0,6,19,1
8492.0,340_0,0.533347187291813,0,0,9,1
8493.0,-162_0,0.534425532809552,1,0,22,1
8493.0,-1741_0,0.4702010109321735,1,1,8,1
8493.0,-1994_0,0.5118534482758621,0,0,19,1
8493.0,-873_0,0.3504672897196262,0,0,6,1
8493.0,1606_0,0.5086038823429686,0,1,12,1
8493.0,1758_0,0.4672897196261683,0,0,8,1
8493.0,1777_0,0.4595365936245344,0,8,19,1
8493.0,1939_0,0.3917281940314565,0,7,10,1
8493.0,2158_0,0.5279041892143862,0,0,13,1
8493.0,338_0,0.5353508979401701,0,6,19,1
8493.0,340_0,0.533347187291813,0,0,9,1
8494.0,-162_0,0.534425532809552,1,0,22,1
8494.0,-1741_0,0.4702010109321735,1,1,8,1
8494.0,-1994_0,0.5118534482758621,0,0,19,1
8494.0,-873_0,0.3504672897196262,0,0,6,1
8494.0,1606_0,0.5086038823429686,0,1,12,1
8494.0,1758_0,0.4672897196261683,0,0,8,1
8494.0,1777_0,0.4595365936245344,0,8,19,1
8494.0,1939_0,0.3981606799486797,0,7,10,1
8494.0,2158_0,0.5279041892143862,0,0,13,1
8494.0,338_0,0.5353508979401701,0,6,19,1
8494.0,340_0,0.533347187291813,0,0,9,1
8495.0,-162_0,0.534425532809552,1,0,22,1
8495.0,-1741_0,0.4702010109321735,1,1,8,1
8495.0,-1994_0,0.5118534482758621,0,0,19,1
8495.0,-873_0,0.3504672897196262,0,0,6,1
8495.0,1606_0,0.5086038823429686,0,1,12,1
8495.0,1758_0,0.4672897196261683,0,0,8,1
8495.0,1777_0,0.43535045711798,0,9,18,1
8495.0,1939_0,0.4081632653061224,0,7,10,1
8495.0,2158_0,0.5279041892143862,0,0,13,1
8495.0,338_0,0.5353508979401701,0,6,19,1
8495.0,340_0,0.533347187291813,0,0,9,1
8496.0,-162_0,0.534425532809552,1,0,22,1
8496.0,-1741_0,0.4702010109321735,1,1,8,1
8496.0,-1994_0,0.5118534482758621,0,0,19,1
8496.0,-873_0,0.3504672897196262,0,0,6,1
8496.0,1606_0,0.5086038823429686,0,1,12,1
8496.0,1758_0,0.4672897196261683,0,0,8,1
8496.0,1777_0,0.43535045711798,0,9,18,1
8496.0,1939_0,0.4081632653061224,0,7,10,1
8496.0,2158_0,0.5279041892143862,0,0,13,1
8496.0,338_0,0.5353508979401701,0,6,19,1
8496.0,340_0,0.533347187291813,0,0,9,1
8497.0,-162_0,0.534425532809552,1,0,22,1
8497.0,-1741_0,0.5113000226988887,2,1,9,1
8497.0,-1994_0,0.5118534482758621,0,0,19,1
8497.0,-873_0,0.3504672897196262,0,0,6,1
8497.0,1606_0,0.5086038823429686,0,1,12,1
8497.0,1758_0,0.4672897196261683,0,0,8,1
8497.0,1777_0,0.4111643206114255,0,10,17,1
8497.0,1939_0,0.426043107067602,1,7,11,1
8497.0,2158_0,0.5279041892143862,0,0,13,1
8497.0,338_0,0.5353508979401701,0,6,19,1
8497.0,340_0,0.533347187291813,0,0,9,1
8498.0,-162_0,0.534425532809552,1,0,22,1
8498.0,-1741_0,0.5289761372986952,2,1,9,1
8498.0,-1994_0,0.5118534482758621,0,0,19,1
8498.0,-873_0,0.3504672897196262,0,0,6,1
8498.0,1606_0,0.5086038823429686,0,1,12,1
8498.0,1758_0,0.4672897196261683,0,0,8,1
8498.0,1777_0,0.4111643206114255,0,10,17,1
8498.0,1939_0,0.4489795918367347,1,7,11,1
8498.0,2158_0,0.5279041892143862,0,0,13,1
8498.0,338_0,0.5353508979401701,0,6,19,1
8498.0,340_0,0.533347187291813,0,0,9,1
8499.0,-162_0,0.534425532809552,1,0,22,1
8499.0,-1741_0,0.5289761372986952,2,1,9,1
8499.0,-1994_0,0.5118534482758621,0,0,19,1
8499.0,-873_0,0.3504672897196262,0,0,6,1
8499.0,1606_0,0.5086038823429686,0,1,12,1
8499.0,1758_0,0.4672897196261683,0,0,8,1
8499.0,1777_0,0.3869781841048711,0,11,16,1
8499.0,1939_0,0.4489795918367347,1,7,11,1
8499.0,2158_0,0.5279041892143862,0,0,13,1
8499.0,338_0,0.5353508979401701,0,6,19,1
8499.0,340_0,0.533347187291813,0,0,9,1
8500.0,-162_0,0.534425532809552,1,0,22,1
8500.0,-1741_0,0.5289761372986952,2,1,9,1
8500.0,-1994_0,0.5118534482758621,0,0,19,1
8500.0,-873_0,0.3504672897196262,0,0,6,1
8500.0,1606_0,0.5086038823429686,0,1,12,1
8500.0,1758_0,0.4672897196261683,0,0,8,1
8500.0,1777_0,0.3869781841048711,0,11,16,1
8500.0,1939_0,0.460819703583553,2,7,12,1
8500.0,2158_0,0.5279041892143862,0,0,13,1
8500.0,338_0,0.5353508979401701,0,6,19,1
8500.0,340_0,0.533347187291813,0,0,9,1
8501.0,-162_0,0.534425532809552,1,0,22,1
8501.0,-1741_0,0.5289761372986952,2,1,9,1
8501.0,-1994_0,0.5118534482758621,0,0,19,1
8501.0,-873_0,0.3504672897196262,0,0,6,1
8501.0,1606_0,0.5086038823429686,0,1,12,1
8501.0,1758_0,0.4672897196261683,0,0,8,1
8501.0,1777_0,0.3627920475983167,0,12,15,1
8501.0,1939_0,0.4897959183673469,2,7,12,1
8501.0,1992_0,0.4825556145345751,0,0,20,1
8501.0,2158_0,0.5279041892143862,0,0,13,1
8501.0,338_0,0.5353508979401701,0,6,19,1
8501.0,340_0,0.533347187291813,0,0,9,1
